"Run","Repeat","Configuration","ChunkMiB","Operations","PoolMiB","BytesRead","ReadSubmissions","ImmediateReads","ImmediatePercent","ReadSeconds","TotalSeconds","MBps","MiBps"
"1","1","chunk-8MiB__ops-1","8","1","8","2147483648","256","0","0","0,224","0,224","9585,13","9141,09"
"2","1","chunk-2MiB__ops-1","2","1","2","2147483648","1024","0","0","0,214","0,214","10033,9","9569,07"
"3","1","chunk-4MiB__ops-1","4","1","4","2147483648","512","0","0","0,202","0,202","10625,33","10133,1"
"4","1","chunk-1MiB__ops-1","1","1","1","2147483648","2048","0","0","0,202","0,202","10621,76","10129,7"
"5","1","chunk-16MiB__ops-1","16","1","16","2147483648","128","0","0","0,216","0,216","9940,76","9480,24"
"6","2","chunk-4MiB__ops-1","4","1","4","2147483648","512","0","0","0,213","0,213","10093,19","9625,62"
"7","2","chunk-1MiB__ops-1","1","1","1","2147483648","2048","0","0","0,209","0,209","10258,6","9783,36"
"8","2","chunk-16MiB__ops-1","16","1","16","2147483648","128","0","0","0,227","0,227","9468,56","9029,92"
"9","2","chunk-8MiB__ops-1","8","1","8","2147483648","256","0","0","0,203","0,203","10560,18","10070,97"
"10","2","chunk-2MiB__ops-1","2","1","2","2147483648","1024","0","0","0,205","0,205","10498,92","10012,55"
"11","3","chunk-2MiB__ops-1","2","1","2","2147483648","1024","0","0","0,199","0,199","10773,67","10274,57"
"12","3","chunk-8MiB__ops-1","8","1","8","2147483648","256","0","0","0,201","0,201","10689,47","10194,27"
"13","3","chunk-1MiB__ops-1","1","1","1","2147483648","2048","0","0","0,205","0,205","10481,2","9995,65"
"14","3","chunk-4MiB__ops-1","4","1","4","2147483648","512","0","0","0,198","0,198","10842,23","10339,96"
"15","3","chunk-16MiB__ops-1","16","1","16","2147483648","128","0","0","0,214","0,215","10016,02","9552,02"
"16","4","chunk-16MiB__ops-1","16","1","16","2147483648","128","0","0","0,214","0,214","10024,52","9560,13"
"17","4","chunk-8MiB__ops-1","8","1","8","2147483648","256","0","0","0,201","0,201","10683,07","10188,17"
"18","4","chunk-4MiB__ops-1","4","1","4","2147483648","512","0","0","0,204","0,204","10511,04","10024,11"
"19","4","chunk-1MiB__ops-1","1","1","1","2147483648","2048","0","0","0,203","0,203","10572,08","10082,32"
"20","4","chunk-2MiB__ops-1","2","1","2","2147483648","1024","0","0","0,201","0,201","10667,99","10173,78"
"21","5","chunk-4MiB__ops-1","4","1","4","2147483648","512","0","0","0,201","0,201","10682,85","10187,96"
"22","5","chunk-8MiB__ops-1","8","1","8","2147483648","256","0","0","0,209","0,209","10292,23","9815,43"
"23","5","chunk-16MiB__ops-1","16","1","16","2147483648","128","0","0","0,217","0,217","9891,13","9432,92"
