"Run","Repeat","Configuration","ChunkMiB","Operations","PoolMiB","BytesRead","ReadSubmissions","ImmediateReads","ImmediatePercent","ReadSeconds","TotalSeconds","MBps","MiBps"
"24","5","chunk-2MiB__ops-1","2","1","2","2147483648","1024","0","0","0,203","0,203","10568,62","10079,02"
"25","5","chunk-1MiB__ops-1","1","1","1","2147483648","2048","0","0","0,202","0,202","10625,09","10132,88"
"26","6","chunk-4MiB__ops-1","4","1","4","2147483648","512","0","0","0,2","0,2","10748,8","10250,86"
"27","6","chunk-16MiB__ops-1","16","1","16","2147483648","128","0","0","0,214","0,214","10035,67","9570,76"
"28","6","chunk-2MiB__ops-1","2","1","2","2147483648","1024","0","0","0,202","0,202","10617,28","10125,43"
"29","6","chunk-1MiB__ops-1","1","1","1","2147483648","2048","0","0","0,203","0,203","10589,25","10098,7"
"30","6","chunk-8MiB__ops-1","8","1","8","2147483648","256","0","0","0,205","0,205","10471,24","9986,15"
"31","7","chunk-8MiB__ops-1","8","1","8","2147483648","256","0","0","0,2","0,2","10724,63","10227,8"
"32","7","chunk-4MiB__ops-1","4","1","4","2147483648","512","0","0","0,202","0,202","10641,27","10148,3"
"33","7","chunk-16MiB__ops-1","16","1","16","2147483648","128","0","0","0,219","0,219","9793,54","9339,85"
"34","7","chunk-1MiB__ops-1","1","1","1","2147483648","2048","0","0","0,202","0,202","10621,69","10129,64"
"35","7","chunk-2MiB__ops-1","2","1","2","2147483648","1024","0","0","0,203","0,203","10598,93","10107,92"
"36","8","chunk-16MiB__ops-1","16","1","16","2147483648","128","0","0","0,216","0,216","9923,97","9464,24"
"37","8","chunk-2MiB__ops-1","2","1","2","2147483648","1024","0","0","0,201","0,201","10663,98","10169,96"
"38","8","chunk-1MiB__ops-1","1","1","1","2147483648","2048","0","0","0,201","0,201","10683,57","10188,64"
"39","8","chunk-8MiB__ops-1","8","1","8","2147483648","256","0","0","0,204","0,204","10512,24","10025,25"
"40","8","chunk-4MiB__ops-1","4","1","4","2147483648","512","0","0","0,197","0,197","10882,77","10378,62"
"41","9","chunk-1MiB__ops-1","1","1","1","2147483648","2048","0","0","0,204","0,204","10514,87","10027,76"
"42","9","chunk-8MiB__ops-1","8","1","8","2147483648","256","0","0","0,201","0,201","10680,89","10186,1"
"43","9","chunk-4MiB__ops-1","4","1","4","2147483648","512","0","0","0,201","0,201","10706,92","10210,91"
"44","9","chunk-2MiB__ops-1","2","1","2","2147483648","1024","0","0","0,2","0,2","10719,58","10222,98"
"45","9","chunk-16MiB__ops-1","16","1","16","2147483648","128","0","0","0,217","0,217","9913,15","9453,91"
"46","10","chunk-2MiB__ops-1","2","1","2","2147483648","1024","0","0","0,198","0,198","10835,85","10333,87"
"47","10","chunk-4MiB__ops-1","4","1","4","2147483648","512","0","0","0,197","0,197","10912,63","10407,09"
"48","10","chunk-1MiB__ops-1","1","1","1","2147483648","2048","0","0","0,205","0,205","10457,13","9972,7"
"49","10","chunk-16MiB__ops-1","16","1","16","2147483648","128","0","0","0,218","0,218","9864,75","9407,76"
"50","10","chunk-8MiB__ops-1","8","1","8","2147483648","256","0","0","0,203","0,203","10572,38","10082,61"
