"Configuration","ChunkMiB","Operations","PoolMiB","Runs","MeanMBps","StdDevMBps","CvPercent","MinMBps","MaxMBps","MeanReadSeconds","ImmediateReads","ReadSubmissions"
"chunk-4MiB__ops-1","4","1","4","10","10664,7","236,19","2,21","10093,19","10912,63","0,2015","0","5120"
"chunk-2MiB__ops-1","2","1","2","10","10597,87","221,29","2,09","10033,9","10835,85","0,2026","0","10240"
"chunk-1MiB__ops-1","1","1","1","10","10542,52","122,36","1,16","10258,6","10683,57","0,2036","0","20480"
"chunk-8MiB__ops-1","8","1","8","10","10477,15","339,5","3,24","9585,13","10724,63","0,2051","0","2560"
"chunk-16MiB__ops-1","16","1","16","10","9887,21","165,64","1,68","9468,56","10035,67","0,2172","0","1280"
