"Run","Repeat","Configuration","Streams","RequestedSendKiB","RequestedReceiveKiB","SenderElapsedSeconds","SenderMBps","ReceiverElapsedSeconds","ReceiverMBps","ActualSenderSendBufferBytes","ActualSenderReceiveBufferBytes","ActualReceiverSendBufferBytes","ActualReceiverReceiveBufferBytes"
"1","1","streams-4__send-default__recv-1024KiB","4","default","1024","0,730257","23525,8","0,731451","23487,37","65536","65536","65536","1048576"
"2","1","streams-4__send-default__recv-256KiB","4","default","256","1,106366","15528,2","1,107569","15511,33","65536","65536","65536","262144"
"3","1","streams-4__send-256KiB__recv-4096KiB","4","256","4096","0,744003","23091,12","0,745203","23053,96","262144","65536","65536","4194304"
"4","1","streams-4__send-4096KiB__recv-4096KiB","4","4096","4096","0,718131","23923,03","0,719345","23882,66","4194304","65536","65536","4194304"
"5","1","streams-4__send-256KiB__recv-1024KiB","4","256","1024","0,733736","23414,24","0,734923","23376,41","262144","65536","65536","1048576"
"6","1","streams-4__send-1024KiB__recv-256KiB","4","1024","256","1,086735","15808,7","1,088154","15788,09","1048576","65536","65536","262144"
"7","1","streams-4__send-default__recv-4096KiB","4","default","4096","0,719138","23889,52","0,720341","23849,64","65536","65536","65536","4194304"
"8","1","streams-4__send-256KiB__recv-256KiB","4","256","256","1,161655","14789,14","1,16285","14773,94","262144","65536","65536","262144"
"9","1","streams-4__send-1024KiB__recv-4096KiB","4","1024","4096","0,760425","22592,46","0,761631","22556,67","1048576","65536","65536","4194304"
"10","1","streams-4__send-4096KiB__recv-default","4","4096","default","1,299147","13223,96","1,300337","13211,86","4194304","65536","65536","65536"
"11","1","streams-4__send-256KiB__recv-default","4","256","default","1,361275","12620,42","1,362552","12608,59","262144","65536","65536","65536"
"12","1","streams-4__send-1024KiB__recv-1024KiB","4","1024","1024","0,717683","23937,95","0,718902","23897,39","1048576","65536","65536","1048576"
"13","1","streams-4__send-4096KiB__recv-1024KiB","4","4096","1024","0,721414","23814,17","0,722612","23774,67","4194304","65536","65536","1048576"
"14","1","streams-4__send-4096KiB__recv-256KiB","4","4096","256","1,380408","12445,5","1,381601","12434,75","4194304","65536","65536","262144"
"15","1","streams-4__send-default__recv-default","4","default","default","1,340216","12818,73","1,341495","12806,51","65536","65536","65536","65536"
"16","1","streams-4__send-1024KiB__recv-default","4","1024","default","1,386207","12393,44","1,387426","12382,55","1048576","65536","65536","65536"
"17","2","streams-4__send-4096KiB__recv-256KiB","4","4096","256","1,357247","12657,88","1,358452","12646,65","4194304","65536","65536","262144"
"18","2","streams-4__send-256KiB__recv-1024KiB","4","256","1024","0,754574","22767,64","0,755883","22728,22","262144","65536","65536","1048576"
"19","2","streams-4__send-256KiB__recv-256KiB","4","256","256","1,241168","13841,69","1,242379","13828,2","262144","65536","65536","262144"
"20","2","streams-4__send-1024KiB__recv-default","4","1024","default","1,269744","13530,18","1,270962","13517,22","1048576","65536","65536","65536"
"21","2","streams-4__send-256KiB__recv-4096KiB","4","256","4096","0,739375","23235,65","0,74059","23197,56","262144","65536","65536","4194304"
"22","2","streams-4__send-256KiB__recv-default","4","256","default","1,390413","12355,95","1,39162","12345,23","262144","65536","65536","65536"
"23","2","streams-4__send-default__recv-4096KiB","4","default","4096","0,738275","23270,28","0,739473","23232,58","65536","65536","65536","4194304"
"24","2","streams-4__send-1024KiB__recv-256KiB","4","1024","256","1,274324","13481,55","1,27564","13467,64","1048576","65536","65536","262144"
"25","2","streams-4__send-1024KiB__recv-1024KiB","4","1024","1024","0,770912","22285,11","0,772113","22250,46","1048576","65536","65536","1048576"
"26","2","streams-4__send-4096KiB__recv-default","4","4096","default","1,210503","14192,34","1,211711","14178,19","4194304","65536","65536","65536"
"27","2","streams-4__send-4096KiB__recv-4096KiB","4","4096","4096","0,735439","23360,01","0,736666","23321,11","4194304","65536","65536","4194304"
"28","2","streams-4__send-default__recv-1024KiB","4","default","1024","0,739452","23233,25","0,740681","23194,68","65536","65536","65536","1048576"
"29","2","streams-4__send-default__recv-256KiB","4","default","256","1,178263","14580,68","1,179522","14565,11","65536","65536","65536","262144"
