"Mode","Runs","MeanMBps","StdDevMBps","CvPercent","MinMBps","MaxMBps"
"blocking","20","10876,47","371,97","3,42","9640,07","11098,02"
"iocp","20","10807,86","402,09","3,72","9545,1","11113,89"
